,cell_name,predicted_label
7745,7745,Malignant cells
7746,7746,Malignant cells
7747,7747,Malignant cells
7748,7748,Malignant cells
7749,7749,Malignant cells
7750,7750,TECs
7751,7751,Malignant cells
7752,7752,Malignant cells
7753,7753,Malignant cells
7754,7754,Malignant cells
7755,7755,Hepatocytes
7756,7756,TECs
7757,7757,TECs
7758,7758,Hepatocytes
7759,7759,TECs
7760,7760,Malignant cells
7761,7761,Malignant cells
7762,7762,Malignant cells
7763,7763,Malignant cells
7764,7764,Malignant cells
7765,7765,TAMs
7766,7766,Malignant cells
7767,7767,Malignant cells
7768,7768,Malignant cells
7769,7769,Malignant cells
7770,7770,Malignant cells
7771,7771,Malignant cells
7772,7772,Malignant cells
7773,7773,Malignant cells
7774,7774,Malignant cells
7775,7775,Hepatocytes
7776,7776,Malignant cells
7777,7777,Malignant cells
7778,7778,Malignant cells
7779,7779,Malignant cells
7780,7780,Hepatocytes
7781,7781,Hepatocytes
7782,7782,Malignant cells
7783,7783,Hepatocytes
7784,7784,Hepatocytes
7785,7785,CAFs
7786,7786,Malignant cells
7787,7787,Malignant cells
7788,7788,Malignant cells
7789,7789,Malignant cells
7790,7790,Malignant cells
7791,7791,Malignant cells
7792,7792,Malignant cells
7793,7793,TECs
7794,7794,Malignant cells
7795,7795,Malignant cells
7796,7796,Hepatocytes
7797,7797,TECs
7798,7798,Hepatocytes
7799,7799,TECs
7800,7800,Malignant cells
7801,7801,Malignant cells
7802,7802,Malignant cells
7803,7803,Malignant cells
7804,7804,Malignant cells
7805,7805,Malignant cells
7806,7806,Malignant cells
7807,7807,Malignant cells
7808,7808,Malignant cells
7809,7809,Malignant cells
7810,7810,Malignant cells
7811,7811,Malignant cells
7812,7812,Malignant cells
7813,7813,Malignant cells
7814,7814,Malignant cells
7815,7815,Hepatocytes
7816,7816,Malignant cells
7817,7817,Malignant cells
7818,7818,Malignant cells
7819,7819,Malignant cells
7820,7820,CAFs
7821,7821,Hepatocytes
7822,7822,Malignant cells
7823,7823,Malignant cells
7824,7824,Malignant cells
7825,7825,Malignant cells
7826,7826,Malignant cells
7827,7827,Hepatocytes
7828,7828,Malignant cells
7829,7829,Hepatocytes
7830,7830,Malignant cells
7831,7831,Malignant cells
7832,7832,Hepatocytes
7833,7833,Hepatocytes
7834,7834,Hepatocytes
7835,7835,Malignant cells
7836,7836,Hepatocytes
7837,7837,Hepatocytes
7838,7838,Malignant cells
7839,7839,Malignant cells
7840,7840,Malignant cells
7841,7841,Malignant cells
7842,7842,Malignant cells
7843,7843,TECs
7844,7844,Malignant cells
7845,7845,Hepatocytes
7846,7846,Malignant cells
7847,7847,Hepatocytes
7848,7848,TAMs
7849,7849,Malignant cells
7850,7850,Malignant cells
7851,7851,Malignant cells
7852,7852,Malignant cells
7853,7853,Malignant cells
7854,7854,Hepatocytes
7855,7855,Malignant cells
7856,7856,Malignant cells
7857,7857,Malignant cells
7858,7858,Malignant cells
7859,7859,Malignant cells
7860,7860,CAFs
7861,7861,CAFs
7862,7862,CAFs
7863,7863,TECs
7864,7864,CAFs
7865,7865,Malignant cells
7866,7866,CAFs
7867,7867,Malignant cells
7868,7868,Malignant cells
7869,7869,TAMs
7870,7870,Hepatocytes
7871,7871,Malignant cells
7872,7872,TECs
7873,7873,TECs
7874,7874,Hepatocytes
7875,7875,TECs
7876,7876,TAMs
7877,7877,TAMs
7878,7878,Malignant cells
7879,7879,Malignant cells
7880,7880,T cells
7881,7881,TECs
7882,7882,T cells
7883,7883,Hepatocytes
7884,7884,TECs
7885,7885,TECs
7886,7886,Stellate cells
7887,7887,Hepatocytes
7888,7888,CAFs
7889,7889,TAMs
7890,7890,TECs
7891,7891,TECs
7892,7892,TAMs
7893,7893,CAFs
7894,7894,TECs
7895,7895,Malignant cells
7896,7896,T cells
7897,7897,Malignant cells
7898,7898,Hepatocytes
7899,7899,Malignant cells
7900,7900,T cells
7901,7901,Hepatocytes
7902,7902,Malignant cells
7903,7903,Malignant cells
7904,7904,Malignant cells
7905,7905,Malignant cells
7906,7906,Malignant cells
7907,7907,Malignant cells
7908,7908,Dendritic cells
7909,7909,TECs
7910,7910,Dendritic cells
7911,7911,TECs
7912,7912,Malignant cells
7913,7913,Dendritic cells
7914,7914,CAFs
7915,7915,Hepatocytes
7916,7916,Malignant cells
7917,7917,Malignant cells
7918,7918,Malignant cells
7919,7919,Malignant cells
7920,7920,Malignant cells
7921,7921,T cells
7922,7922,Malignant cells
7923,7923,Malignant cells
7924,7924,T cells
7925,7925,Malignant cells
7926,7926,Malignant cells
7927,7927,Malignant cells
7928,7928,Malignant cells
7929,7929,Malignant cells
7930,7930,Malignant cells
7931,7931,Malignant cells
7932,7932,Malignant cells
7933,7933,T cells
7934,7934,Stellate cells
7935,7935,CAFs
7936,7936,CAFs
7937,7937,CAFs
7938,7938,CAFs
7939,7939,CAFs
7940,7940,TECs
7941,7941,Malignant cells
7942,7942,TECs
7943,7943,Malignant cells
7944,7944,TECs
7945,7945,Malignant cells
7946,7946,Malignant cells
7947,7947,T cells
8000,8000,CAFs
8001,8001,CAFs
8002,8002,TECs
8003,8003,CAFs
8004,8004,CAFs
8005,8005,TECs
8006,8006,CAFs
8007,8007,CAFs
8008,8008,TECs
8009,8009,TECs
8010,8010,TECs
8011,8011,CAFs
8012,8012,TECs
8013,8013,CAFs
8014,8014,CAFs
8015,8015,CAFs
8016,8016,CAFs
8017,8017,CAFs
8018,8018,CAFs
8019,8019,CAFs
8020,8020,CAFs
8021,8021,CAFs
8022,8022,CAFs
8023,8023,TECs
8025,8025,CAFs
8029,8029,CAFs
8030,8030,Plasma cells
8031,8031,CAFs
8034,8034,CAFs
8036,8036,CAFs
8040,8040,CAFs
8041,8041,CAFs
8046,8046,CAFs
8048,8048,CAFs
8049,8049,CAFs
8050,8050,CAFs
8053,8053,CAFs
8057,8057,CAFs
8058,8058,CAFs
8059,8059,TECs
8062,8062,CAFs
8063,8063,TECs
8065,8065,TECs
8070,8070,CAFs
8071,8071,CAFs
8074,8074,TECs
8075,8075,CAFs
8076,8076,CAFs
8077,8077,CAFs
8078,8078,TECs
8079,8079,CAFs
8081,8081,TECs
8083,8083,CAFs
8085,8085,TECs
8087,8087,CAFs
8090,8090,CAFs
8091,8091,TECs
8092,8092,TECs
8096,8096,CAFs
8098,8098,TECs
8099,8099,TECs
8100,8100,CAFs
8103,8103,TECs
8104,8104,TECs
8105,8105,CAFs
8106,8106,TECs
8107,8107,CAFs
8108,8108,TECs
8109,8109,TECs
8110,8110,TECs
8111,8111,CAFs
8114,8114,CAFs
8115,8115,TECs
8116,8116,CAFs
8117,8117,CAFs
8174,8174,T cells
8175,8175,CAFs
8176,8176,CAFs
8177,8177,CAFs
8178,8178,CAFs
8179,8179,CAFs
8180,8180,CAFs
8181,8181,CAFs
8182,8182,CAFs
8183,8183,Hepatocytes
8184,8184,Smooth muscle cells
8185,8185,CAFs
8186,8186,CAFs
8187,8187,CAFs
8188,8188,B cells
8189,8189,CAFs
8190,8190,CAFs
8191,8191,CAFs
8192,8192,T cells
8193,8193,CAFs
8194,8194,T cells
8195,8195,CAFs
8196,8196,CAFs
8197,8197,TAMs
8198,8198,CAFs
8199,8199,T cells
8200,8200,CAFs
8201,8201,CAFs
8202,8202,CAFs
8203,8203,CAFs
8204,8204,Plasma cells
8205,8205,T cells
8206,8206,CAFs
8207,8207,CAFs
8208,8208,CAFs
8209,8209,CAFs
8210,8210,Hepatocytes
8211,8211,Hepatocytes
8212,8212,TECs
8213,8213,CAFs
8214,8214,CAFs
8661,8661,TAMs
8662,8662,TECs
8663,8663,Hepatocytes
8664,8664,Malignant cells
8665,8665,Hepatocytes
10560,10560,Malignant cells
10561,10561,Malignant cells
10562,10562,Malignant cells
10563,10563,Malignant cells
10564,10564,Malignant cells
10565,10565,Malignant cells
10566,10566,Hepatocytes
10567,10567,Malignant cells
10568,10568,Malignant cells
10569,10569,Malignant cells
10570,10570,Malignant cells
10571,10571,Malignant cells
10572,10572,Malignant cells
10574,10574,Hepatocytes
10575,10575,Malignant cells
10576,10576,Malignant cells
10577,10577,Hepatocytes
10578,10578,Malignant cells
10579,10579,Malignant cells
10580,10580,Malignant cells
10581,10581,Malignant cells
10582,10582,Malignant cells
10583,10583,Malignant cells
10584,10584,Malignant cells
10585,10585,Malignant cells
10586,10586,Malignant cells
10587,10587,Malignant cells
10588,10588,Malignant cells
10589,10589,Malignant cells
10590,10590,Malignant cells
10591,10591,Malignant cells
10592,10592,Malignant cells
10593,10593,Malignant cells
10594,10594,Malignant cells
10595,10595,Malignant cells
10596,10596,Malignant cells
10597,10597,Malignant cells
10599,10599,Malignant cells
10605,10605,Malignant cells
10606,10606,Malignant cells
10607,10607,Malignant cells
10608,10608,Malignant cells
10609,10609,Malignant cells
10610,10610,Malignant cells
10611,10611,Malignant cells
10612,10612,Malignant cells
10613,10613,Hepatocytes
10614,10614,Malignant cells
10616,10616,Malignant cells
10718,10718,TECs
10719,10719,TECs
10720,10720,TECs
10721,10721,T cells
10722,10722,CAFs
10723,10723,TECs
10724,10724,CAFs
10725,10725,CAFs
10726,10726,CAFs
10727,10727,CAFs
10728,10728,T cells
10729,10729,T cells
10730,10730,CAFs
10731,10731,CAFs
10732,10732,CAFs
10733,10733,TECs
10734,10734,TECs
